method,top1_accuracy,margin_median,margin_mean,n_runs,n_unknown_points,n_possible_combinations,requested_sampling_iterations,used_sampling_iterations,sampling_mode,sample_size,scenario,model_type,output_dir
dihs,1.0,0.5942446839480704,0.594246930722883,5000,20,125970,5000,5000,random_unique,12,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.179020335664523,12.132169822078136,5000,20,125970,5000,5000,random_unique,12,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0118055555555555,0.0114694444444444,5000,20,125970,5000,5000,random_unique,12,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.285084819790118,2.2799964389290306,5000,20,77520,5000,5000,random_unique,13,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.6017757428393624,0.6020930071958872,5000,20,77520,5000,5000,random_unique,13,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.19026574259583,12.149561402722778,5000,20,77520,5000,5000,random_unique,13,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0115384615384615,0.0112817948717948,5000,20,77520,5000,5000,random_unique,13,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.2878502570708057,2.283656578897107,5000,20,38760,5000,5000,random_unique,14,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.6169893538144606,0.616598721116299,5000,20,38760,5000,5000,random_unique,14,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.199263271141522,12.167793586819371,5000,20,38760,5000,5000,random_unique,14,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0113095238095238,0.0113797619047619,5000,20,38760,5000,5000,random_unique,14,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.29043591200735,2.286299842130435,5000,20,15504,5000,5000,random_unique,15,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.6239361204603068,0.6243526886400216,5000,20,15504,5000,5000,random_unique,15,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.206363440763468,12.18016665292858,5000,20,15504,5000,5000,random_unique,15,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0111111111111111,0.0113097777777777,5000,20,15504,5000,5000,random_unique,15,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.2930610663479265,2.289490651175491,4845,20,4845,5000,4845,exhaustive_unique,16,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.6305746518814729,0.6310605522545849,4845,20,4845,5000,4845,exhaustive_unique,16,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.216390834673549,12.197434975644123,4845,20,4845,5000,4845,exhaustive_unique,16,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0114583333333333,0.0114137211902304,4845,20,4845,5000,4845,exhaustive_unique,16,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.2956796395419303,2.292300584395025,1140,20,1140,5000,1140,exhaustive_unique,17,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.6334771239163152,0.6352437397089323,1140,20,1140,5000,1140,exhaustive_unique,17,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.225383840801843,12.211274567518773,1140,20,1140,5000,1140,exhaustive_unique,17,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0112745098039215,0.0114422084623323,1140,20,1140,5000,1140,exhaustive_unique,17,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.297421611305863,2.2947813822542567,190,20,190,5000,190,exhaustive_unique,18,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.6443123682562482,0.6437697684198554,190,20,190,5000,190,exhaustive_unique,18,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,12.237593098237816,12.223166665538209,190,20,190,5000,190,exhaustive_unique,18,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0111111111111111,0.0113523391812865,190,20,190,5000,190,exhaustive_unique,18,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.299341815885276,2.2970180901699635,20,20,20,5000,20,exhaustive_unique,19,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
